- [8, -57, -100, 38, 34, 26, -79, -87, 25, 15, -22, 64, 19, 53, 39, -88, -82, -59, -62, -67, -63, -95, -99, 40, -39, 21, 38, 83, 9, 19, 82, 19, 100, -28, 44, 46, 18, -89, -89, -50, 36, -19, -100, 31, -17, 20, 82, -44, 86, 12, -66, 10, 57, 15, 60, 55, -65, 98, -40, -74, 37, -91, -17, 35, 99, 99, 59, 13, 44, -22, -64, 6, -51, -32, 0, 68, 37, -43, 22, -69, -7, -58, 45, 29, -75, 59, -64, -5, 27, -5, -43, -95, -9, 52, 23, 69, 50, 84, -20, 62]
- [-20, -63, -88, 77, 39, 64, -11, 25, 0, 42, -99, -99, -70, 61, -89, -78, -35, 52, 82, 5, -15, -25, 15, -83, 61, -91, -82, 0, -31, 90, -39, -35, -94, 9, 51, -59, 0, -59, 100, -61, 94, -36, 8, -84, -45, 14, -30, -80, 65, -97, 59, 22, 1, 12, -65, -28, 5, 95, -6, 39, -61, 39, -71, -60, -87, -21, 9, -49, -92, -56, 80, -64, 40, -63, 7, -44, 50, -72, -22, 88, -75, -91, 60, 29, -47, -82, 31, 82, -79, 90, 2, 47, 0, 43, -80, -95, 60, 29, -22, 40]
- [72, -53, -62, -47, -17, -72, 69, 12, -6, -79, 9, -54, 96, -48, 90, 14, -6, -23, 92, 44, -91, -72, 99, 45, 8, 34, -6, -73, -24, 22, -10, 15, 44, -74, 44, -86, -7, -20, -34, 57, -54, -47, 4, 52, -19, 23, 78, -67, 3, 11, 45, -68, -100, 86, 32, 70, 84, 61, 84, -39, -81, 32, 69, 59, -69, -56, -44, 93, -92, 2, 60, -13, -99, 89, -14, 23, 3, 97, -95, 22, -96, 2, -65, 90, 86, -18, 0, -2, -48, 41, -15, -75, 51, -62, 46, 31, 49, -47, 77, 83]
- [80, 99, 44, -6, -73, -78, 64, -31, -82, 15, -26, -40, 8, 36, -22, -94, 9, -28, 76, 42, -6, -44, -57, 23, 28, 78, -98, -92, -86, 0, 75, -64, -65, -55, -98, 65, 49, -79, -44, 57, -75, -5, 61, -2, 87, 65, -27, -64, 99, -67, -19, 28, 95, -86, 85, -66, -24, -30, -45, 39, 27, -53, -31, 17, -73, 44, -13, -61, -66, 49, -10, -97, 40, -22, 29, 8, -78, -23, 98, 5, 18, -43, 83, -43, 48, 54, 78, 38, -42, -86, -2, -83, 58, -18, 37, -49, 67, -71, -50, -75]
- [-90, 78, -27, 45, -6, -66, -93, 49, 2, -71, -54, -50, -73, 4, -50, -48, -91, -96, 34, 75, 26, 12, 76, -70, -66, 54, -59, 99, -87, -81, -6, 39, 1, 35, -26, -58, 85, 86, 75, 94, -49, -40, -92, -11, -27, 67, 18, -65, -49, 51, 46, -6, -70, 13, 67, 73, -83, 37, 59, -26, 0, -26, 61, -24, -45, 18, 50, 9, 73, -64, 34, -56, 20, 55, -35, -50, 72, 38, -66, -92, -37, 21, 38, 17, 32, 54, -2, 29, -97, 36, 41, 19, -27, 51, -96, 0, 55, -57, -93, 35]
- [-26, 64, -15, -24, -90, 45, 29, 76, 61, -62, 81, -72, 0, -12, 93, -14, 53, -62, 44, 14, -13, -100, 98, 96, -90, -49, 90, -78, -41, 43, -43, 94, 57, 19, -52, 52, 4, 1, 20, 93, 59, 92, 52, 50, -58, 50, 16, -49, -3, -65, -96, 32, -69, -42, -93, 22, 6, 66, -100, 31, -32, -89, 54, -65, -37, -23, 0, 84, -64, 97, 73, 54, 8, -45, 98, 91, 0, -49, -47, 54, 28, -10, 97, -80, 7, 85, 65, -17, -31, -41, 80, -4, -74, -81, -6, -63, -38, 10, -22, -5]
- [-53, 43, 78, 83, -73, 38, 2, -28, -81, 21, 6, -17, 92, 26, 62, -72, 32, 22, -14, 93, 88, 74, 66, -11, 69, 5, 25, 51, -16, 65, 100, 33, -88, -13, 87, 77, -41, -3, -22, -46, 87, -4, -77, 20, -93, -14, 73, -97, 44, 53, -2, 37, 86, -77, -53, 30, -84, -57, 51, 71, -83, -29, -3, 28, -47, -24, -71, 61, 82, 3, 47, 26, 55, -41, -85, 53, -12, 6, 28, 13, -6, -33, 80, -81, -25, -17, -58, 87, 85, -34, -14, -57, -35, 92, 95, -76, 48, -63, -51, 93]
- [18, 31, 17, -98, 27, -47, 96, 33, -74, 82, -53, -86, 44, 33, -92, 39, 32, 6, -35, 24, -45, -1, 0, -81, 47, -18, 11, -71, -60, -35, -11, -15, 19, -71, 29, 60, 89, -86, 64, 83, -33, 11, -38, -13, 37, 17, -78, 93, 23, 44, 41, 35, 84, 15, 70, 47, -62, -83, -90, 75, -37, -97, 29, -44, 69, -92, -36, -57, -1, -73, -49, -1, 87, 34, -57, -88, 4, -60, 54, -31, -78, 35, 58, -17, 27, -81, -56, 39, -4, 24, -5, -58, 23, 52, 70, 80, -6, -23, 49, 73]
- [-83, 43, -80, 24, 24, -42, 1, -15, 70, 78, 87, 92, 45, -73, -18, 92, 65, 17, 100, 35, -67, 89, 13, -46, 13, -72, 14, 36, 35, -45, -24, -91, -77, -37, 52, -73, -43, 17, -2, 9, -38, -52, -57, 4, 39, 55, 42, -18, -76, -76, 34, 80, 27, 0, 44, -31, -84, -46, -88, 46, -14, 29, -46, 29, 21, -25, -6, -32, -14, -52, -48, -22, 0, -86, -28, -14, -99, -62, 18, 34, 54, -13, -17, 1, 80, -4, -90, -94, 97, 64, 79, 18, -34, 69, 84, 10, -16, 76, 17, -3]
- [72, -11, -73, -5, 69, -27, -44, 20, 66, -49, -37, 74, 7, -99, 39, -14, -33, 27, -59, 4, 56, 67, 39, 49, 88, -56, 88, 68, -76, 2, -64, 1, 42, 92, -87, -77, 9, 97, -54, 99, -31, 69, 32, 2, -37, -34, 5, -63, 61, -96, 93, 82, 44, 76, 14, -20, -79, 28, 98, 86, 55, -85, 16, 100, 14, -62, 62, -45, 41, 22, -92, 30, -14, -96, 40, -20, 12, 85, 77, -25, -97, -92, -54, 73, -10, -24, -60, 68, 6, -54, -100, 92, -63, 0, -16, -66, 83, -25, 70, -25]
- [21, -48, 17, -80, 21, -72, -75, -86, -9, -51, -24, -94, -6, -14, -8, 7, -93, 49, -49, -60, 100, 75, 93, -1, -17, 78, -15, 67, -51, 83, -2, -1, 3, -97, -100, 54, -39, -92, -17, -58, -80, 64, -49, -11, 42, 2, 92, -80, -26, -5, 100, -61, 22, 71, -94, 40, -84, -12, -53, -96, -72, 0, -99, 98, 6, -6, 51, 62, -80, 44, 0, 74, -59, 95, 0, -48, -82, -31, -71, -23, -97, -81, -32, -15, 79, -50, -97, -36, 63, 89, 50, -73, -43, -19, 50, -99, -59, 49, -42, 18]
- [81, 60, 90, 43, 100, -35, -55, -92, -17, -8, 3, -37, 70, -48, -59, -19, 24, 9, 30, -24, 66, -77, -58, 5, 13, 75, -72, -93, 94, -89, -76, 52, -12, -47, 91, -91, 34, -12, 88, -95, 31, 76, 41, -85, 41, 11, -59, -13, -14, -60, -51, 93, -31, 78, 71, -2, -90, 6, -47, -99, 12, -50, -27, -35, 43, -20, -77, 14, 94, 33, -10, -20, 67, 55, 37, -66, -80, -14, -4, 64, -70, -59, 50, -35, -35, -16, -58, 8, -4, 40, -24, 33, 34, 85, -84, -7, -83, 37, -45, 95]
- [-57, 27, 54, 36, 9, -58, 80, 23, 57, 66, -80, 40, 12, -83, 90, -81, 44, -53, 37, 60, -11, 85, -7, 85, 55, 82, -86, 87, 12, 70, 42, -27, 7, -68, -45, 87, -94, -37, -38, 3, -31, -61, 15, -100, -36, -64, -5, -41, 10, 69, 56, 5, -74, 18, 15, -100, -87, 13, 42, -27, -98, -56, 87, 81, 89, -100, 69, -52, -76, 92, -77, 78, 50, 49, 47, -1, -73, 48, 11, 99, -9, -69, -51, 26, -12, -1, 41, 2, -24, -26, -29, 21, 28, -70, -56, -76, -65, 9, 95, 44]
- [-99, -80, -34, -45, 26, -18, -12, -70, -1, -51, 82, -64, -63, -55, 67, -6, -84, 94, 40, -21, 88, 1, 52, 66, -65, -75, 83, -53, -68, 90, -42, -94, -8, -59, 74, -11, 92, -83, -39, -76, 81, 100, 65, 16, 91, 69, 42, -77, -74, -60, 71, 63, 98, 37, 27, -1, -3, 20, -73, 25, -29, -51, -69, 11, 5, -64, -99, 14, 82, -90, 45, -72, 38, 93, -63, 95, 64, 22, -87, 21, -96, 57, -67, 98, -15, -50, 8, -81, -45, 100, -2, 15, -65, -28, -54, -38, -53, 57, 86, 29]
- [-24, 55, 91, 58, -58, 19, -24, 89, -95, -9, -70, -46, 0, -70, 78, -48, -40, 64, -68, -22, -67, -66, -24, 90, 0, -23, -66, 14, -40, 86, -43, -14, -50, 67, 28, -12, 96, -70, 83, -49, 78, -47, 10, -39, 0, -7, -17, 78, -47, -52, -29, 66, 50, 1, -39, -90, -1, 23, -7, -25, -66, 84, 75, 81, -58, 36, 85, 50, -2, -90, 19, -88, 57, 76, -33, -60, 42, 47, 20, 18, -78, 52, 23, -65, -49, -61, 11, 58, -85, 51, -92, -80, 56, 52, 46, -19, -88, 70, -42, 11]
- [8, -75, -94, -58, -24, -49, 69, -65, -30, 95, -61, -38, 93, -13, 18, -73, -99, 67, 77, 62, 73, -75, -60, 83, 79, -67, -43, 73, -11, 30, -93, 85, -28, -61, 20, -41, -75, -48, 100, -77, -48, 12, 74, 28, 89, -20, 18, -11, -26, -50, 81, 32, -23, -13, -1, 39, -22, 92, 64, -7, -74, 40, 89, 46, 50, 90, -36, 55, -32, 61, -66, -47, -39, 39, 71, 50, 56, 21, -44, -32, -69, 7, -60, -46, 37, -4, -23, 9, -58, -70, -28, 28, -42, 42, -57, -61, 75, -57, 6, 62]
- [-65, -5, 8, -88, 65, -53, 71, -83, 32, -42, 38, 49, -40, -12, -91, 75, -10, 30, -50, 85, 70, -23, 53, 85, -36, -71, -49, -22, 39, -5, 48, -88, 100, 93, 84, 61, -82, 40, 22, -21, -33, -78, -23, -65, -62, 59, -44, 61, 12, -64, -11, -89, -29, 10, 98, 34, -9, -32, -55, -61, 61, -63, 9, -33, -13, 1, -89, -24, -13, 8, 58, 54, 9, -59, -61, 0, 75, -96, 99, 84, -66, 4, -20, 82, -12, -76, -69, -65, -4, 10, 91, 76, -43, 72, -30, -39, -48, 75, -68, 53]
- [-100, 1, 99, -29, -15, 9, 77, 1, -64, 96, -56, 70, 76, 20, 25, 93, 41, -91, -32, -81, -96, 10, 11, 14, 51, 32, 6, 36, -67, -97, 5, 61, 24, 55, -36, 78, 5, 5, 0, -36, 86, 0, 93, -84, 11, -83, -97, -69, 57, 72, -21, 27, 28, -32, 40, -64, -6, -25, 24, -19, 18, -15, 94, 92, -98, 19, -39, 15, -58, 88, -75, -88, 7, 3, -14, 8, 63, -87, 74, -5, -99, -96, 32, -3, 56, 67, -63, 54, 86, 63, -71, -46, -42, -70, 54, -84, 10, -74, 99, -65]
- [-57, 67, 82, 79, -30, -23, 17, -56, 64, 88, -29, -54, -7, 99, -96, -74, -86, -1, 51, 44, 57, -14, 87, -73, -44, 37, 41, -53, -63, -89, 47, 67, -84, -14, 44, -66, 97, 71, 74, -29, 93, 63, -33, 32, 40, 93, -70, 70, -93, 76, -6, 40, 11, 77, -60, 66, -26, 8, 7, 50, 24, -80, 45, 61, 44, -7, -13, 85, -27, 66, -9, 66, 0, -68, 60, -14, 99, -17, -70, -100, 34, 69, -87, 73, -84, -23, 11, 28, -2, 1, -39, -17, 96, -10, -44, -54, 78, -57, -42, 94]
- [66, 88, -88, -50, 99, 14, -1, -60, 39, -75, -80, -98, -67, -93, 74, 24, -30, 67, -95, 18, -91, -80, 26, 81, -30, 93, 94, 63, 89, -10, -11, -21, -83, -59, -81, 58, -22, -60, 81, 52, 9, 24, -69, -97, 29, -38, 44, 43, 28, 15, -96, -90, 77, -64, 69, 0, -82, -88, 78, -98, 76, -78, 8, 88, 63, 5, 52, -75, -15, -35, 49, 14, 13, -29, 25, -24, -78, 82, -1, 33, -12, 88, -32, -72, 72, 91, -44, -8, -87, -37, 9, -91, -54, -62, -15, -57, 61, -20, -63, 0]
- [25, -7, 37, 62, 25, -20, -17, -46, 86, 67, -63, -94, -71, 93, 84, -98, 90, -19, 37, 13, -100, 61, -25, 70, 36, -90, 48, -63, 32, -63, 7, 24, 66, -10, -2, 24, -23, 77, 79, -90, 0, -88, -20, 12, -8, -78, 96, 37, 25, 90, 34, -70, 1, -3, 57, -37, 86, 52, 94, 14, 1, -16, -91, -42, -75, 94, 62, -54, -71, -30, -70, 25, -23, -98, -42, 88, -98, 62, -88, 1, -61, -35, -44, -62, -76, 96, 81, -72, 10, 100, 41, 56, -81, -13, 93, 17, -93, 89, -61, -24]
- [-66, 19, -43, 93, -55, -33, -18, -75, 0, -98, -60, -8, -67, 94, -19, -56, 60, 40, -30, 82, -18, -90, -59, 49, -57, 29, 7, -65, 40, -2, 77, 25, -51, -16, 78, -83, -98, 8, 30, 4, 10, 7, 37, -44, -5, 89, -29, 70, -40, 31, 82, -53, 98, 45, 36, -68, 56, 9, 17, 77, -14, 74, 78, 82, 88, 10, -9, -69, 49, 49, -18, -24, 12, 38, -30, -92, 35, -69, 83, 57, 54, 19, -87, 16, -99, -3, 32, -29, 69, -46, 68, -79, -41, -90, -35, 60, -59, -95, -55, -41]
- [3, -87, 84, 80, 10, 2, 81, -80, 91, 56, -4, 26, 9, 56, 73, -1, 35, -81, 94, -59, -85, 37, -90, 8, 50, -8, -32, 100, 55, -81, 82, -13, -85, -24, -59, 98, 57, 35, 89, -2, 9, -100, -52, 4, 19, -39, 82, 0, -12, 52, -43, 36, 58, -77, 13, -50, -79, -55, -4, -66, -53, -38, 4, -28, 27, -15, 90, 98, -69, -81, -21, 67, -48, 88, 18, -6, 94, 10, -47, -74, 21, -56, -78, 91, 53, -13, -6, 71, -96, -16, -96, -21, -87, 40, 84, 26, -62, 12, 92, 38]
